"cidade";"d";"h0";"h90";"h180";"h270"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9642,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9642,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9642,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9642,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2809,-46.963,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.963,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.963,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.963,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9587,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9587,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9587,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9587,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9584,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9584,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9584,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9584,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9572,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9572,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9572,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9572,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9562,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9562,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9562,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9562,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9517,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9517,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9517,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9517,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9515,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9515,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9515,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9515,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9475,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9475,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9475,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2809,-46.9475,h270,p20,z1"
"PERUIBE";15.05;"https://www.gps-coordinates.net/street-view/@-24.2808,-46.9839,h0,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2808,-46.9839,h90,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2808,-46.9839,h180,p20,z1";"https://www.gps-coordinates.net/street-view/@-24.2808,-46.9839,h270,p20,z1"
